"citizen","decision","geo","time","values"
"45","Eritrea","Total","Belgium",2015-07-01,175
"46","Eritrea","Total","Switzerland",2015-07-01,1555
"47","Eritrea","Total","Germany (until 1990 former territory of the FRG)",2015-07-01,1745
"48","Eritrea","Total","Greece",2015-07-01,15
"49","Eritrea","Total","Spain",2015-07-01,0
"50","Eritrea","Total","France",2015-07-01,0
"51","Eritrea","Total","Italy",2015-07-01,115
"52","Eritrea","Total","Netherlands",2015-07-01,1345
"53","Eritrea","Total","Norway",2015-07-01,670
"54","Eritrea","Total","Sweden",2015-07-01,1655
"55","Eritrea","Total","United Kingdom",2015-07-01,975
"56","Eritrea","Total_positive_decisions","Belgium",2015-07-01,155
"57","Eritrea","Total_positive_decisions","Switzerland",2015-07-01,1070
"58","Eritrea","Total_positive_decisions","Germany (until 1990 former territory of the FRG)",2015-07-01,1700
"59","Eritrea","Total_positive_decisions","Greece",2015-07-01,10
"60","Eritrea","Total_positive_decisions","Spain",2015-07-01,0
"61","Eritrea","Total_positive_decisions","France",2015-07-01,0
"62","Eritrea","Total_positive_decisions","Italy",2015-07-01,95
"63","Eritrea","Total_positive_decisions","Netherlands",2015-07-01,1315
"64","Eritrea","Total_positive_decisions","Norway",2015-07-01,625
"65","Eritrea","Total_positive_decisions","Sweden",2015-07-01,1575
"66","Eritrea","Total_positive_decisions","United Kingdom",2015-07-01,385
"67","Eritrea","Rejected","Belgium",2015-04-01,20
"68","Eritrea","Rejected","Switzerland",2015-04-01,80
"69","Eritrea","Rejected","Germany (until 1990 former territory of the FRG)",2015-04-01,90
"70","Eritrea","Rejected","Greece",2015-04-01,5
"71","Eritrea","Rejected","Spain",2015-04-01,0
"72","Eritrea","Rejected","France",2015-04-01,120
"73","Eritrea","Rejected","Italy",2015-04-01,20
"74","Eritrea","Rejected","Netherlands",2015-04-01,25
"75","Eritrea","Rejected","Norway",2015-04-01,45
"76","Eritrea","Rejected","Sweden",2015-04-01,0
"77","Eritrea","Rejected","United Kingdom",2015-04-01,625
"78","Eritrea","Total","Belgium",2015-04-01,135
"79","Eritrea","Total","Switzerland",2015-04-01,1565
"80","Eritrea","Total","Germany (until 1990 former territory of the FRG)",2015-04-01,895
"81","Eritrea","Total","Greece",2015-04-01,15
"82","Eritrea","Total","Spain",2015-04-01,0
"83","Eritrea","Total","France",2015-04-01,370
"84","Eritrea","Total","Italy",2015-04-01,165
"85","Eritrea","Total","Netherlands",2015-04-01,550
"86","Eritrea","Total","Norway",2015-04-01,675
"87","Eritrea","Total","Sweden",2015-04-01,1690
"88","Eritrea","Total","United Kingdom",2015-04-01,935
"89","Eritrea","Total_positive_decisions","Belgium",2015-04-01,115
"90","Eritrea","Total_positive_decisions","Switzerland",2015-04-01,1485
"91","Eritrea","Total_positive_decisions","Germany (until 1990 former territory of the FRG)",2015-04-01,805
"92","Eritrea","Total_positive_decisions","Greece",2015-04-01,15
"93","Eritrea","Total_positive_decisions","Spain",2015-04-01,0
"94","Eritrea","Total_positive_decisions","France",2015-04-01,250
"95","Eritrea","Total_positive_decisions","Italy",2015-04-01,145
"96","Eritrea","Total_positive_decisions","Netherlands",2015-04-01,525
"97","Eritrea","Total_positive_decisions","Norway",2015-04-01,635
"98","Eritrea","Total_positive_decisions","Sweden",2015-04-01,1690
"99","Eritrea","Total_positive_decisions","United Kingdom",2015-04-01,310
"100","Eritrea","Rejected","Belgium",2015-01-01,10
"101","Eritrea","Rejected","Switzerland",2015-01-01,155
"102","Eritrea","Rejected","Germany (until 1990 former territory of the FRG)",2015-01-01,70
"103","Eritrea","Rejected","Greece",2015-01-01,10
"104","Eritrea","Rejected","Spain",2015-01-01,0
"105","Eritrea","Rejected","France",2015-01-01,130
"106","Eritrea","Rejected","Italy",2015-01-01,25
"107","Eritrea","Rejected","Netherlands",2015-01-01,30
"108","Eritrea","Rejected","Norway",2015-01-01,30
"109","Eritrea","Rejected","Sweden",2015-01-01,0
"110","Eritrea","Rejected","United Kingdom",2015-01-01,170
"111","Eritrea","Total","Belgium",2015-01-01,135
"112","Eritrea","Total","Switzerland",2015-01-01,1530
"113","Eritrea","Total","Germany (until 1990 former territory of the FRG)",2015-01-01,830
"114","Eritrea","Total","Greece",2015-01-01,45
"115","Eritrea","Total","Spain",2015-01-01,5
"116","Eritrea","Total","France",2015-01-01,205
"117","Eritrea","Total","Italy",2015-01-01,200
"118","Eritrea","Total","Netherlands",2015-01-01,195
"119","Eritrea","Total","Norway",2015-01-01,720
"120","Eritrea","Total","Sweden",2015-01-01,1515
"121","Eritrea","Total","United Kingdom",2015-01-01,730
"122","Eritrea","Total_positive_decisions","Belgium",2015-01-01,125
"123","Eritrea","Total_positive_decisions","Switzerland",2015-01-01,1380
"124","Eritrea","Total_positive_decisions","Germany (until 1990 former territory of the FRG)",2015-01-01,760
"125","Eritrea","Total_positive_decisions","Greece",2015-01-01,35
"126","Eritrea","Total_positive_decisions","Spain",2015-01-01,0
"127","Eritrea","Total_positive_decisions","France",2015-01-01,80
"128","Eritrea","Total_positive_decisions","Italy",2015-01-01,175
"129","Eritrea","Total_positive_decisions","Netherlands",2015-01-01,165
"130","Eritrea","Total_positive_decisions","Norway",2015-01-01,690
"131","Eritrea","Total_positive_decisions","Sweden",2015-01-01,1515
"132","Eritrea","Total_positive_decisions","United Kingdom",2015-01-01,560
